Player;Pos.;2024 Team;2025 Team;Type;Snaps;Age;Current APY;Guarantees
Anthony Pittman;LB;Lions;;UFA;1.4%;29;$1,055,000;$0
Malik Taylor;WR;Jets;;UFA;0.0%;30;$1,055,000;$0
Netane Muti;RG;Lions;;UFA;0.0%;26;$1,055,000;$0
Nsimba Webster;WR;Bears;;UFA;0.0%;29;$1,055,000;$0
Kene Nwangwu;RB;Jets;;UFA;0.1%;27;$1,055,000;$0
Trey Sermon;RB;Colts;;UFA;22.5%;26;$1,055,000;$0
Scott Daly;LS;Bears;;UFA;29.7%;31;$1,055,000;$0
Collin Johnson;WR;Bears;;UFA;1.4%;28;$1,055,000;$0
Riley Patterson;K;Falcons;;UFA;6.5%;27;$1,055,000;$0
Marlon Davidson;IDL;Titans;;UFA;0.0%;27;$1,055,000;$0
Shane Lemieux;C;Saints;;UFA;31.1%;28;$1,055,000;$0
Darrynton Evans;RB;Bears;;UFA;0.4%;27;$1,055,000;$0
Jake Curhan;RT;Bears;;UFA;23.0%;27;$1,055,000;$0
James Lynch;IDL;Titans;;UFA;20.8%;26;$1,055,000;$0
Curtis Robinson;LB;49ers;;RFA;3.2%;27;$1,055,000;$0
Nick McCloud;CB;49ers;;UFA;20.7%;27;$1,055,000;$0
Naquan Jones;IDL;Cardinals;;UFA;24.0%;27;$1,055,000;$0
Marlon Tuipulotu;IDL;Chiefs;;UFA;5.6%;26;$1,055,000;$0
Ka'dar Hollman;CB;Texans;;UFA;10.6%;31;$1,055,000;$0
Robert Rochell;CB;Packers;;UFA;0.1%;27;$1,055,000;$0
Ihmir Smith-Marsette;WR;Giants;;UFA;0.6%;26;$1,055,000;$0
Jonah Williams;IDL;Lions;;UFA;8.9%;30;$1,055,000;$0
Jackson Carman;LT;Dolphins;;UFA;6.0%;25;$1,055,000;$0
Quinn Bailey;RG;Broncos;;UFA;0.0%;30;$1,055,000;$0
Shemar Jean-Charles;CB;Saints;;UFA;12.7%;27;$1,055,000;$0
Simi Fehoko;WR;Chargers;;UFA;22.9%;28;$1,055,000;$0
Cam Gill;LB;Panthers;;UFA;18.1%;28;$1,055,000;$0
Bruce Hector;IDL;Jets;;ERFA;10.3%;31;$1,055,000;$0
John Kelly;RB;Browns;;RFA;0.0%;29;$1,055,000;$0
D'Wayne Eskridge;WR;Dolphins;;UFA;3.3%;28;$1,055,000;$0
Cole Van Lanen;RT;Jaguars;;RFA;24.4%;27;$1,055,000;$0
Dan Chisena;WR;Panthers;;RFA;1.8%;28;$1,055,000;$0
Terrace Marshall Jr.;WR;Raiders;;UFA;12.5%;25;$1,055,000;$0
Patrick Taylor;RB;49ers;;UFA;15.9%;27;$1,055,000;$0
Bennett Skowronek;WR;Steelers;;UFA;8.9%;28;$1,055,000;$0
Andre Chachere;CB;Cardinals;;RFA;0.3%;29;$1,055,000;$0
Greg Stroman;CB;Giants;;UFA;11.8%;29;$1,055,000;$0
Jamin Davis;LB;Jets;;UFA;9.7%;27;$1,055,000;$0
John Bates;TE;Commanders;;UFA;44.4%;28;$1,050,604;$722,416
Camryn Bynum;S;Vikings;;UFA;90.8%;27;$1,049,453;$717,812
Kylen Granson;TE;Colts;;UFA;39.6%;27;$1,046,591;$706,364
Dan Moore Jr.;LT;Steelers;;UFA;98.6%;27;$1,044,475;$697,900
Tylan Wallace;WR;Ravens;;UFA;24.8%;26;$1,041,339;$685,356
Jordan McFadden;LG;Chargers;;SFA;0.1%;26;$1,038,035;$312,140
Tre Brown;CB;Seahawks;;UFA;25.6%;28;$1,030,166;$640,664
Shane Buechele;QB;Bills;;RFA;0.0%;27;$1,025,000;$40,000
Isaiah Rodgers;CB;Eagles;;RFA;31.3%;27;$1,010,000;$0
Ian Book;QB;Eagles;;SFA;0.0%;27;$1,007,500;$0
Zayne Anderson;S;Packers;;ERFA;11.3%;28;$1,002,500;$10,000
Roy Lopez;IDL;Cardinals;;UFA;43.0%;28;$997,500;$0
Garret Wallow;LB;Titans;;UFA;0.0%;26;$997,500;$0
D'Ante Smith;RT;Bengals;;UFA;0.0%;27;$994,836;$499,344
Chandler Wooten;LB;Panthers;;RFA;17.4%;26;$985,000;$0
Ryan Neuzil;C;Falcons;;RFA;50.5%;28;$985,000;$0
John FitzPatrick;TE;Packers;;RFA;6.7%;25;$985,000;$0
Nate Landman;LB;Falcons;;RFA;48.9%;27;$985,000;$0
Stephen Carlson;TE;Bears;;UFA;0.0%;29;$985,000;$0
Josh Blackwell;CB;Bears;;RFA;9.6%;26;$985,000;$0
Teagan Quitoriano;TE;Texans;;RFA;9.2%;25;$985,000;$0
Trevor Denbow;S;Colts;;RFA;0.0%;27;$985,000;$0
Cal Adomitis;LS;Bengals;;RFA;28.0%;27;$985,000;$0
Chris Williams;IDL;Bears;;RFA;34.4%;27;$985,000;$0
Cade York;K;Bengals;;RFA;12.5%;24;$985,000;$0
